"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","total_baseline_alerts.1","total_experiment_alerts.1","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"39","Thursday","packet_sampling_10_5",9240723,831,823,831,823,0,0,0,"34.02",3143789,"97.71",812,"1.34",11,17.88347864151
"40","Thursday","packet_sampling_25_10",9240723,831,825,831,825,0,0,0,"40.41",3734394,"98.19",816,"1.09",9,18.6855902671814
"41","Thursday","packet_sampling_25_25",9240723,831,825,831,825,0,0,0,"38.32",3540773,"98.07",815,"1.21",10,18.7641935348511
"42","Thursday","packet_sampling_25_5",9240723,831,825,831,825,0,0,0,"40.72",3763091,"97.83",813,"1.45",12,18.7675437927246
"43","Thursday","packet_sampling_5_10",9240723,831,637,831,637,0,0,0,"25.98",2400708,"75.57",628,"1.41",9,17.2700886726379
"44","Thursday","packet_sampling_5_25",9240723,831,622,831,622,0,0,0,"18.55",1714154,"74.13",616,"0.96",6,16.7456915378571
"45","Thursday","packet_sampling_5_5",9240723,831,697,831,697,0,0,0,"27.20",2513363,"82.91",689,"1.15",8,17.1085112094879
"46","Thursday","packet_sampling_50_10",9240723,831,825,831,825,0,0,0,"44.85",4144432,"98.19",816,"1.09",9,18.9660260677338
"47","Thursday","packet_sampling_50_25",9240723,831,825,831,825,0,0,0,"43.81",4048337,"98.19",816,"1.09",9,18.7985551357269
"48","Thursday","packet_sampling_50_5",9240723,831,825,831,825,0,0,0,"45.12",4169489,"98.56",819,"0.73",6,19.1719830036163
"49","Thursday","rule_based_extended",9240723,831,775,831,775,0,0,0,"19.78",1827608,"92.30",767,"1.03",8,17.0140819549561
"50","Thursday","rule_based_extended_old",9240723,831,784,831,784,1098.82426007143,603.742401433308,0.310979779396049,"20.79",1921148,"93.14",774,"1.28",10,18.9769558906555
"51","Thursday","rule_based_fast_pattern",9240723,831,367,831,367,0,0,0,"31.43",2904137,"43.80",364,"0.82",3,19.3486621379852
"52","Thursday","rule_based_fast_pattern_old",9240723,831,367,831,367,264.86193082511,135.937432817757,0,"31.43",2904137,"43.32",360,"1.91",7,19.0920512676239
"53","Thursday","rule_based_header_only",9240723,831,400,831,400,0,0,0,"55.70",5147178,"47.65",396,"1.00",4,55.3206479549408
