"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"31","BenignTraffic","packet_sampling_50_10",3534248,10,10,0,0,0,"39.94",1411468,"100.00",10,"0.00",0,16.0227417945862
"32","BenignTraffic","packet_sampling_50_25",3534248,10,10,0,0,0,"32.42",1145843,"100.00",10,"0.00",0,15.8706367015839
"33","BenignTraffic","packet_sampling_50_5",3534248,10,10,0,0,0,"44.61",1576583,"100.00",10,"0.00",0,16.0551731586456
"34","BenignTraffic","rule_based_eRBF",3534248,10,10,0,0,0,"15.13",534714,"100.00",10,"0.00",0,16.4331080913544
"35","BenignTraffic","rule_based_fast_pattern",3534248,10,10,0,0,0,"38.08",1345951,"100.00",10,"0.00",0,17.8221645355225
"36","BenignTraffic","rule_based_header_only",3534248,10,10,0,0,0,"57.75",2041204,"100.00",10,"0.00",0,23.0414025783539
"37","BenignTraffic1","packet_sampling_10_10",2885502,0,0,0,0,0,"20.77",599434,"100",0,"0",0,15.0404341220856
"38","BenignTraffic1","packet_sampling_10_25",2885502,0,0,0,0,0,"15.06",434601,"100",0,"0",0,14.930290222168
"39","BenignTraffic1","packet_sampling_10_5",2885502,0,0,0,0,0,"24.91",718682,"100",0,"0",0,15.1951978206635
"40","BenignTraffic1","packet_sampling_10_50",2885502,0,0,0,0,0,"11.65",336263,"100",0,"0",0,14.8071591854095
"41","BenignTraffic1","packet_sampling_25_10",2885502,0,0,0,0,0,"25.64",739960,"100",0,"0",0,15.2623810768127
"42","BenignTraffic1","packet_sampling_25_25",2885502,0,0,0,0,0,"18.66",538354,"100",0,"0",0,14.8846614360809
"43","BenignTraffic1","packet_sampling_25_5",2885502,0,0,0,0,0,"29.66",855877,"100",0,"0",0,15.3779165744781
"44","BenignTraffic1","packet_sampling_25_50",2885502,0,0,0,0,0,"15.20",438674,"100",0,"0",0,14.9562232494354
